Company,Description,Rating,Category,Response Rate,Average Response Rate,Solution Rate,Average Avaluation,Customer Retention
EDP Comercial,Great,86.9,"Water, electricity and gas",100%,"99,9%","99,3%","48,7%","49,3%"
Goldenergy,Great,85.0,"Water, electricity and gas",100%,100%,"97,7%",45%,"43,7%"
Galp,Great,82.8,"Water, electricity and gas",100%,100%,"96,8%","37,6%","37,8%"
MEO Energia,Great,81.4,"Water, electricity and gas",100%,100%,100%,"25,8%",25%
Alfa Energia,Good,78.3,"Water, electricity and gas",100%,100%,80%,55%,50%
Axpo Portugal,Good,69.3,"Water, electricity and gas",100%,52%,100%,10%,0%
SU ELETRICIDADE,Great,86.7,"Water, electricity and gas",100%,100%,"98,5%","48,5%",52%
Tagusgás,Good,71.5,"Water, electricity and gas","92,1%","36,1%","86,8%","47,3%","63,6%"
Empresa de Electricidade da Madeira,Reasonable,58.2,"Water, electricity and gas","85,7%","44,3%",50%,70%,75%
Floene,Great,87.5,"Water, electricity and gas",100%,"93,3%",100%,"47,3%","63,6%"
Galp,Great,86.0,"Water, electricity and gas",100%,84%,100%,60%,"44,4%"
E-REDES,Great,81.5,"Water, electricity and gas",100%,100%,"91,6%","40,6%","46,3%"
Indaqua Vila do Conde,Great,89.4,"Water, electricity and gas",100%,100%,100%,"62,5%",50%
Indaqua Feira,Great,88.5,"Water, electricity and gas",100%,100%,100%,40%,75%
Indaqua Santo Tirso/Trofa,Good,77.5,"Water, electricity and gas",100%,10%,"90,9%",70%,100%
Franklim Prata ,Great,81.2,"Water, electricity and gas","85,7%",50%,100%,"56,7%","66,7%"
Digal,Good,71.2,"Water, electricity and gas",80%,48%,100%,40%,0%
Citygás,Good,68.1,"Water, electricity and gas",90%,32%,90%,40%,"33,3%"
ERSUC,Excelent,90.9,"Water, electricity and gas",100%,"76,3%",100%,80%,75%
Lipor,Good,75.6,"Water, electricity and gas",100%,"68,3%","66,7%",80%,100%
Tejo Ambiente,Good,65.5,"Water, electricity and gas",100%,"62,2%","63,6%","28,9%","22,2%"
Goldpet,Excelent,91.2,Animals,100%,86%,"97,9%","73,5%","83,9%"
Tiendanimal,Great,85.1,Animals,100%,"95,6%",100%,"44,1%","41,2%"
Meganimal,Great,80.9,Animals,100%,"81,8%","81,3%","75,6%","66,7%"
Hospital Veterinário de Santa Marinha,Weak,37.2,Animals,80%,18%,50%,10%,0%
Hospital Veterinário Vasco da Gama,Weak,29.4,Animals,"61,5%","20,8%","30,8%","12,9%","28,6%"
Hospital Veterinário Bom Jesus,Unsatisfactory,18.4,Animals,25%,"2,5%",25%,20%,0%
Royal Canin,Unsatisfactory,17.5,Animals,"12,5%",0%,"12,5%",0%,100%
Pedigree,No data,,Animals,0%,0%,0%,0%,100%
Advance de Affinity,No data,,Animals,"66,7%","33,3%","66,7%",50%,100%
Zoomalia,Good,69.8,Animals,"85,7%","55,7%","57,1%",95%,100%
Tail Wag,Good,63.9,Animals,78%,"48,8%",78%,"41,4%","35,7%"
Arca de Noé,Good,61.7,Animals,"85,7%","27,1%","85,7%",30%,"16,7%"
Quinta da Patada,No data,,Animals,100%,100%,100%,10%,0%
Global Pets,No data,,Animals,100%,100%,100%,90%,100%
Patinhas Errantes,No data,,Animals,50%,50%,50%,10%,0%
Mazda,Great,83.1,"cars, motorcycles and traffic",100%,100%,"97,8%","38,1%","34,4%"
Volvo,Good,78.6,"cars, motorcycles and traffic",100%,100%,"88,9%","36,3%","36,8%"
Renault,Good,69.4,"cars, motorcycles and traffic",100%,"42,7%","92,3%","30,4%","23,1%"
Oficinas MForce,Great,82.4,"cars, motorcycles and traffic",100%,100%,100%,"32,5%",25%
Norauto,Good,76.8,"cars, motorcycles and traffic",100%,"99,6%","87,6%","33,7%","29,8%"
Gocarmat,Good,74.9,"cars, motorcycles and traffic",100%,"53,8%",100%,"35,7%","14,3%"
Vesauto,Great,83.4,"cars, motorcycles and traffic",100%,"94,3%","92,3%",54%,50%
BL Motor,Great,80.5,"cars, motorcycles and traffic",100%,58%,100%,45%,50%
JAPautomotive,Good,79.3,"cars, motorcycles and traffic",100%,95%,100%,20%,20%
Glassdrive,Great,88.8,"cars, motorcycles and traffic",100%,"77,1%",100%,65%,75%
