Empresa,Descrição,Nota,Categoria
Mazda,Óptimo,83.1,automoveis-motas-e-transito
Volvo,Bom,78.6,automoveis-motas-e-transito
Renault,Bom,69.3,automoveis-motas-e-transito
Oficinas MForce,Óptimo,80.7,automoveis-motas-e-transito
Norauto,Bom,76.8,automoveis-motas-e-transito
Gocarmat,Bom,74.9,automoveis-motas-e-transito
Vesauto,Óptimo,83.4,automoveis-motas-e-transito
JAPautomotive,Bom,79.3,automoveis-motas-e-transito
Filinto Mota,Bom,65.6,automoveis-motas-e-transito
Glassdrive,Óptimo,88.8,automoveis-motas-e-transito
Carglass,Óptimo,86.3,automoveis-motas-e-transito
ExpressGlass,Bom,66.5,automoveis-motas-e-transito
Bkstickers,Óptimo,88.2,automoveis-motas-e-transito
Eurobikes,Fraco,36.1,automoveis-motas-e-transito
Bikeinn,Fraco,31.4,automoveis-motas-e-transito
Endcar,Bom,75.1,automoveis-motas-e-transito
Fidelidade Car Service,Bom,61.5,automoveis-motas-e-transito
PKE Automotive,Fraco,32.3,automoveis-motas-e-transito
Stand Tinocar,Excelente,90.3,automoveis-motas-e-transito
CARSPOT,Óptimo,81.2,automoveis-motas-e-transito
Car4you,Bom,71.5,automoveis-motas-e-transito
AutoParts Logistic,Excelente,95.3,automoveis-motas-e-transito
UniversAuto,Óptimo,80.6,automoveis-motas-e-transito
Texoleo,Bom,73.8,automoveis-motas-e-transito
LeasePlan,Bom,72.3,automoveis-motas-e-transito
KINTO,Razoável,58.8,automoveis-motas-e-transito
ALD Automotive,Razoável,42,automoveis-motas-e-transito
AMGCar,Razoável,46.2,automoveis-motas-e-transito
Confiauto,Fraco,20.9,automoveis-motas-e-transito
JOP,Insatisfatório,15.4,automoveis-motas-e-transito
Benecar – Cidade do Automóvel,Excelente,99,automoveis-motas-e-transito
Matrizauto,Óptimo,88.8,automoveis-motas-e-transito
CarPlus,Bom,75.5,automoveis-motas-e-transito
Bridgestone Portugal,Fraco,20.3,automoveis-motas-e-transito
Michelin,Insatisfatório,18.5,automoveis-motas-e-transito
Continental Pneus,Insatisfatório,1.5,automoveis-motas-e-transito
Dekra Portugal,Razoável,49,automoveis-motas-e-transito
TAVFER,Fraco,23.1,automoveis-motas-e-transito
Controlauto,Fraco,20.8,automoveis-motas-e-transito
Antero Motos,Razoável,57.8,automoveis-motas-e-transito
Santomar,Razoável,53.5,automoveis-motas-e-transito
Caparica Peles,Razoável,53.1,automoveis-motas-e-transito
Pneus Lider,Bom,75.6,automoveis-motas-e-transito
Pneus Online,Fraco,36.8,automoveis-motas-e-transito
Sp Pneus,Sem dados,N/A,automoveis-motas-e-transito
Starwash,Razoável,42.6,automoveis-motas-e-transito
Elefante Azul,Fraco,33.3,automoveis-motas-e-transito
Newash,Insatisfatório,9.8,automoveis-motas-e-transito
Banco Montepio,Óptimo,82.7,banca-seguros-e-imobiliario
Banco BNI Europa,Óptimo,80.5,banca-seguros-e-imobiliario
ActivoBank,Bom,79.2,banca-seguros-e-imobiliario
Mobilize Financial Services – Portugal,Óptimo,87,banca-seguros-e-imobiliario
Oney,Óptimo,86.8,banca-seguros-e-imobiliario
Banco Credibom,Óptimo,86.7,banca-seguros-e-imobiliario
IVAucher,Excelente,92.9,banca-seguros-e-imobiliario
Easypay,Óptimo,86.5,banca-seguros-e-imobiliario
IFTHENPAY,Bom,72.2,banca-seguros-e-imobiliario
Universo,Óptimo,82.3,banca-seguros-e-imobiliario
WiZink,Bom,72.8,banca-seguros-e-imobiliario
Cartão El Corte Inglés,Razoável,50.7,banca-seguros-e-imobiliario
Euroticket Refeição,Óptimo,88.5,banca-seguros-e-imobiliario
Sodexo,Óptimo,87.8,banca-seguros-e-imobiliario
Ticket Restaurant,Fraco,34.6,banca-seguros-e-imobiliario
MB WAY,Óptimo,89.2,banca-seguros-e-imobiliario
OpenBank,Bom,71.5,banca-seguros-e-imobiliario
Moey,Razoável,50,banca-seguros-e-imobiliario
Payshop,Óptimo,89.9,banca-seguros-e-imobiliario
SaltPay,Óptimo,88.7,banca-seguros-e-imobiliario
SIBS,Óptimo,88.5,banca-seguros-e-imobiliario
InvestFW,Bom,78.8,banca-seguros-e-imobiliario
OBRinvest,Razoável,57.7,banca-seguros-e-imobiliario
LiquidityX,Razoável,44.2,banca-seguros-e-imobiliario
Cartão Dá,Excelente,92.9,banca-seguros-e-imobiliario
Cyrana,Razoável,41.4,banca-seguros-e-imobiliario
ViaBuy,Insatisfatório,17,banca-seguros-e-imobiliario
Munditransfers,Fraco,28.8,banca-seguros-e-imobiliario
Skrill,Fraco,25.3,banca-seguros-e-imobiliario
Wise,Insatisfatório,16.9,banca-seguros-e-imobiliario
Multicert,Sem dados,N/A,banca-seguros-e-imobiliario
SEPHORA,Excelente,93.8,beleza-e-bem-estar
Perfumeria Primor,Razoável,59.2,beleza-e-bem-estar
Perfumes & Companhia,Razoável,57.9,beleza-e-bem-estar
TummyTox,Excelente,90.4,beleza-e-bem-estar
Slimjoy Portugal,Bom,79.2,beleza-e-bem-estar
Nutribio,Bom,78.4,beleza-e-bem-estar
Be and Care,Óptimo,86.2,beleza-e-bem-estar
L'Oréal Paris,Óptimo,81.2,beleza-e-bem-estar
Veet,Bom,62.8,beleza-e-bem-estar
DepilConcept,Razoável,58.3,beleza-e-bem-estar
Maria Bonita,Razoável,45.9,beleza-e-bem-estar
DepilTime,Razoável,45.1,beleza-e-bem-estar
Team Transformerz,Óptimo,81.6,beleza-e-bem-estar
Nutribalance,Bom,67.6,beleza-e-bem-estar
DietEspana.com,Sem dados,N/A,beleza-e-bem-estar
SANJAM Cabeleireiros,Razoável,59.4,beleza-e-bem-estar
Cidália Cabeleireios,Fraco,37.6,beleza-e-bem-estar
Inês Pereira Cabeleireiros,Fraco,26.3,beleza-e-bem-estar
Doces Aromas,Óptimo,83.4,beleza-e-bem-estar
Perfumes.pt,Bom,76.5,beleza-e-bem-estar
Notino,Razoável,53.4,beleza-e-bem-estar
Renova,Bom,69,beleza-e-bem-estar
CHEIRALFAZEMA,Razoável,51.1,beleza-e-bem-estar
MyEcoPads,Razoável,47.2,beleza-e-bem-estar
Official Alta Cosmética,Óptimo,89.3,beleza-e-bem-estar
Salontotal.pt,Bom,72.3,beleza-e-bem-estar
Loja do Shampoo,Bom,68.9,beleza-e-bem-estar
Clinicas Bodyscience,Bom,74,beleza-e-bem-estar
Body Concept,Bom,65.1,beleza-e-bem-estar
NB Clinic,Razoável,44,beleza-e-bem-estar
Insparya,Excelente,97.9,beleza-e-bem-estar
Medicapilar,Excelente,90.3,beleza-e-bem-estar
CM2C,Insatisfatório,1.5,beleza-e-bem-estar
Rostus - Agência de Modelos,Razoável,48.8,beleza-e-bem-estar
Space Milan Models,Insatisfatório,16,beleza-e-bem-estar
Espaço Fama,Insatisfatório,10,beleza-e-bem-estar
Securitas Direct,Óptimo,81.1,casa-alarmes-e-limpeza
PROSEGUR ALARMS,Bom,78.8,casa-alarmes-e-limpeza
Valguard,Sem dados,N/A,casa-alarmes-e-limpeza
Leroy Merlin,Bom,68.7,casa-alarmes-e-limpeza
Armazéns Reis,Bom,66.1,casa-alarmes-e-limpeza
Bricomarché,Bom,61.5,casa-alarmes-e-limpeza
Chaves do Areeiro,Fraco,31.8,casa-alarmes-e-limpeza
Chaviarte,Fraco,29.6,casa-alarmes-e-limpeza
Piquetes.pt,Insatisfatório,18.4,casa-alarmes-e-limpeza
Vileda,Razoável,54.3,casa-alarmes-e-limpeza
Finish,Razoável,40.3,casa-alarmes-e-limpeza
Fairy,Insatisfatório,14.1,casa-alarmes-e-limpeza
COPS,Excelente,99,casa-alarmes-e-limpeza
Strong Charon,Excelente,91.3,casa-alarmes-e-limpeza
Prosegur,Óptimo,86.2,casa-alarmes-e-limpeza
Ariston Thermo,Bom,72.4,casa-alarmes-e-limpeza
Solzaima,Razoável,59.5,casa-alarmes-e-limpeza
Junkers,Insatisfatório,18.6,casa-alarmes-e-limpeza
Urbicult,Bom,79,casa-alarmes-e-limpeza
Planeta Huerto,Bom,78,casa-alarmes-e-limpeza
Cactos e Suculentas Portugal,Bom,73.2,casa-alarmes-e-limpeza
Ecovolt - Energias Renováveis,Bom,72.8,casa-alarmes-e-limpeza
Isométrica,Bom,71.4,casa-alarmes-e-limpeza
EAF Serviço Técnico Nacional,Bom,60.4,casa-alarmes-e-limpeza
Woosh,Fraco,29.6,casa-alarmes-e-limpeza
5àSec,Fraco,29.4,casa-alarmes-e-limpeza
La Wash,Fraco,24,casa-alarmes-e-limpeza
Servitis,Razoável,59.4,casa-alarmes-e-limpeza
Multi24Serviços,Razoável,51.5,casa-alarmes-e-limpeza
RGO Reparações 24 horas,Razoável,50.3,casa-alarmes-e-limpeza
Iberlim,Óptimo,86.1,casa-alarmes-e-limpeza
House Shine,Bom,68.3,casa-alarmes-e-limpeza
Cleancare,Fraco,35.4,casa-alarmes-e-limpeza
Solverde.pt,Óptimo,86.9,casinos-e-casas-de-apostas
Moosh,Óptimo,86.6,casinos-e-casas-de-apostas
Jogos Santa Casa,Óptimo,82,casinos-e-casas-de-apostas
Leon,Excelente,92.8,casinos-e-casas-de-apostas
Bettilt,Óptimo,82.2,casinos-e-casas-de-apostas
Roku Casino,Fraco,32.7,casinos-e-casas-de-apostas
Grupo Solverde,Insatisfatório,19.4,casinos-e-casas-de-apostas
Casino Figueira,Sem dados,N/A,casinos-e-casas-de-apostas
Casino Lisboa,Sem dados,N/A,casinos-e-casas-de-apostas
Apostas Prognosticos,Fraco,31.3,casinos-e-casas-de-apostas
Feeling Lucky,Sem dados,N/A,casinos-e-casas-de-apostas
Odds.dog,Sem dados,N/A,casinos-e-casas-de-apostas
NOS,Óptimo,86.9,comunicacoes-tv-e-media
MEO,Óptimo,85.5,comunicacoes-tv-e-media
Nowo,Bom,72.8,comunicacoes-tv-e-media
OPTO,Óptimo,86.1,comunicacoes-tv-e-media
TDT,Óptimo,84.5,comunicacoes-tv-e-media
HBO,Fraco,28.9,comunicacoes-tv-e-media
WTF,Excelente,91.8,comunicacoes-tv-e-media
Moche,Óptimo,86.6,comunicacoes-tv-e-media
WOO,Óptimo,85.3,comunicacoes-tv-e-media
ELEVEN,Bom,76.9,comunicacoes-tv-e-media
SIC,Bom,72.5,comunicacoes-tv-e-media
TV Globo Portugal,Fraco,37.6,comunicacoes-tv-e-media
Mozzi.com,Razoável,44.3,comunicacoes-tv-e-media
Mobile Apps,Razoável,41.2,comunicacoes-tv-e-media
Cozinha Fácil,Fraco,36.6,comunicacoes-tv-e-media
Sapo,Óptimo,84.3,comunicacoes-tv-e-media
Notícias ao Minuto,Bom,60.8,comunicacoes-tv-e-media
Observador,Razoável,42.5,comunicacoes-tv-e-media
Antena 1,Insatisfatório,15.3,comunicacoes-tv-e-media
RFM,Insatisfatório,11.2,comunicacoes-tv-e-media
TSF - Rádio Notícias,Sem dados,N/A,comunicacoes-tv-e-media
Incomunicado,Óptimo,84.5,comunicacoes-tv-e-media
dstelecom,Bom,70.9,comunicacoes-tv-e-media
Mobile World,Bom,67.7,comunicacoes-tv-e-media
Querido Mudei a Casa Obras,Óptimo,81.1,construcao-industria-e-manufactura
NaturaLar,Óptimo,80.7,construcao-industria-e-manufactura
MELOM Obras,Bom,77.7,construcao-industria-e-manufactura
Orona,Bom,71.9,construcao-industria-e-manufactura
Schindler,Fraco,38.8,construcao-industria-e-manufactura
Thyssenkrupp,Fraco,25.5,construcao-industria-e-manufactura
Barbot,Bom,66.8,construcao-industria-e-manufactura
Sollac Tintas,Sem dados,N/A,construcao-industria-e-manufactura
TSL,Sem dados,N/A,construcao-industria-e-manufactura
"Pioneiros & Virtuosos, Unipessoal Lda",Razoável,46.5,construcao-industria-e-manufactura
ITS – Indústria Transformadora de Subprodutos,Sem dados,N/A,construcao-industria-e-manufactura
SEGURANÇA TOTAL,Sem dados,N/A,construcao-industria-e-manufactura
Radar do Tempo,Bom,69,construcao-industria-e-manufactura
Tbs Piscinas,Razoável,57.3,construcao-industria-e-manufactura
PiscinasDesmontaveis.pt,Razoável,45.3,construcao-industria-e-manufactura
CME,Razoável,53.6,construcao-industria-e-manufactura
"Ideias Simples, Lda",Fraco,34.5,construcao-industria-e-manufactura
ERI Engenharia,Fraco,31,construcao-industria-e-manufactura
FT Shopping,Excelente,90.6,construcao-industria-e-manufactura
Loja das Peças,Óptimo,80,construcao-industria-e-manufactura
Barcelona LED Portugal,Razoável,46,construcao-industria-e-manufactura
