Company,Description,Rating,Category
Mazda,Great,83.1,automobiles-motorcycles-and-traffic
Volvo,Good,78.6,automobiles-motorcycles-and-traffic
Renault,Good,69.3,automobiles-motorcycles-and-traffic
Oficinas MForce,Great,80.7,automobiles-motorcycles-and-traffic
Norauto,Good,76.8,automobiles-motorcycles-and-traffic
Gocarmat,Good,74.9,automobiles-motorcycles-and-traffic
Vesauto,Great,83.4,automobiles-motorcycles-and-traffic
JAPautomotive,Good,79.3,automobiles-motorcycles-and-traffic
Filinto Mota,Good,65.6,automobiles-motorcycles-and-traffic
Glassdrive,Great,88.8,automobiles-motorcycles-and-traffic
Carglass,Great,86.3,automobiles-motorcycles-and-traffic
ExpressGlass,Good,66.5,automobiles-motorcycles-and-traffic
Bkstickers,Great,88.2,automobiles-motorcycles-and-traffic
Eurobikes,Weak,36.1,automobiles-motorcycles-and-traffic
Bikeinn,Weak,31.4,automobiles-motorcycles-and-traffic
Endcar,Good,75.1,automobiles-motorcycles-and-traffic
Fidelidade Car Service,Good,61.5,automobiles-motorcycles-and-traffic
PKE Automotive,Weak,32.3,automobiles-motorcycles-and-traffic
Stand Tinocar,Great,90.3,automobiles-motorcycles-and-traffic
CARSPOT,Great,81.2,automobiles-motorcycles-and-traffic
Car4you,Good,71.5,automobiles-motorcycles-and-traffic
AutoParts Logistic,Great,95.3,automobiles-motorcycles-and-traffic
UniversAuto,Great,80.6,automobiles-motorcycles-and-traffic
Texoleo,Good,73.8,automobiles-motorcycles-and-traffic
LeasePlan,Good,72.3,automobiles-motorcycles-and-traffic
KINTO,Reasonable,58.8,automobiles-motorcycles-and-traffic
ALD Automotive,Reasonable,42.0,automobiles-motorcycles-and-traffic
AMGCar,Reasonable,46.2,automobiles-motorcycles-and-traffic
Confiauto,Weak,20.9,automobiles-motorcycles-and-traffic
JOP,Unsatisfactory,15.4,automobiles-motorcycles-and-traffic
Benecar – Cidade do Automóvel,Great,99.0,automobiles-motorcycles-and-traffic
Matrizauto,Great,88.8,automobiles-motorcycles-and-traffic
CarPlus,Good,75.5,automobiles-motorcycles-and-traffic
Bridgestone Portugal,Weak,20.3,automobiles-motorcycles-and-traffic
Michelin,Unsatisfactory,18.5,automobiles-motorcycles-and-traffic
Continental Pneus,Unsatisfactory,1.5,automobiles-motorcycles-and-traffic
Dekra Portugal,Reasonable,49.0,automobiles-motorcycles-and-traffic
TAVFER,Weak,23.1,automobiles-motorcycles-and-traffic
Controlauto,Weak,20.8,automobiles-motorcycles-and-traffic
Antero Motos,Reasonable,57.8,automobiles-motorcycles-and-traffic
Santomar,Reasonable,53.5,automobiles-motorcycles-and-traffic
Caparica Peles,Reasonable,53.1,automobiles-motorcycles-and-traffic
Pneus Lider,Good,75.6,automobiles-motorcycles-and-traffic
Pneus Online,Weak,36.8,automobiles-motorcycles-and-traffic
Sp Pneus,No data,,automobiles-motorcycles-and-traffic
Starwash,Reasonable,42.6,automobiles-motorcycles-and-traffic
Elefante Azul,Weak,33.3,automobiles-motorcycles-and-traffic
Newash,Unsatisfactory,9.8,automobiles-motorcycles-and-traffic
Banco Montepio,Great,82.7,banking-insurance-and-real estate
Banco BNI Europa,Great,80.5,banking-insurance-and-real estate
ActivoBank,Good,79.2,banking-insurance-and-real estate
Mobilize Financial Services – Portugal,Great,87.0,banking-insurance-and-real estate
Oney,Great,86.8,banking-insurance-and-real estate
Banco Credibom,Great,86.7,banking-insurance-and-real estate
IVAucher,Great,92.9,banking-insurance-and-real estate
Easypay,Great,86.5,banking-insurance-and-real estate
IFTHENPAY,Good,72.2,banking-insurance-and-real estate
Universo,Great,82.3,banking-insurance-and-real estate
WiZink,Good,72.8,banking-insurance-and-real estate
Cartão El Corte Inglés,Reasonable,50.7,banking-insurance-and-real estate
Euroticket Refeição,Great,88.5,banking-insurance-and-real estate
Sodexo,Great,87.8,banking-insurance-and-real estate
Ticket Restaurant,Weak,34.6,banking-insurance-and-real estate
MB WAY,Great,89.2,banking-insurance-and-real estate
OpenBank,Good,71.5,banking-insurance-and-real estate
Moey,Reasonable,50.0,banking-insurance-and-real estate
Payshop,Great,89.9,banking-insurance-and-real estate
SaltPay,Great,88.7,banking-insurance-and-real estate
SIBS,Great,88.5,banking-insurance-and-real estate
InvestFW,Good,78.8,banking-insurance-and-real estate
OBRinvest,Reasonable,57.7,banking-insurance-and-real estate
LiquidityX,Reasonable,44.2,banking-insurance-and-real estate
Cartão Dá,Great,92.9,banking-insurance-and-real estate
Cyrana,Reasonable,41.4,banking-insurance-and-real estate
ViaBuy,Unsatisfactory,17.0,banking-insurance-and-real estate
Munditransfers,Weak,28.8,banking-insurance-and-real estate
Skrill,Weak,25.3,banking-insurance-and-real estate
Wise,Unsatisfactory,16.9,banking-insurance-and-real estate
Multicert,No data,,banking-insurance-and-real estate
SEPHORA,Great,93.8,beauty-and-wellness
Perfumeria Primor,Reasonable,59.2,beauty-and-wellness
Perfumes & Companhia,Reasonable,57.9,beauty-and-wellness
TummyTox,Great,90.4,beauty-and-wellness
Slimjoy Portugal,Good,79.2,beauty-and-wellness
Nutribio,Good,78.4,beauty-and-wellness
Be and Care,Great,86.2,beauty-and-wellness
L'Oréal Paris,Great,81.2,beauty-and-wellness
Veet,Good,62.8,beauty-and-wellness
DepilConcept,Reasonable,58.3,beauty-and-wellness
Maria Bonita,Reasonable,45.9,beauty-and-wellness
DepilTime,Reasonable,45.1,beauty-and-wellness
Team Transformerz,Great,81.6,beauty-and-wellness
Nutribalance,Good,67.6,beauty-and-wellness
DietEspana.com,No data,,beauty-and-wellness
